gene,SJ_M9,SJ_M10,SJ_M7,SJ_M8
ENSMUSG00000000562,2.941305,1.310005,0.070368,0.143103
ENSMUSG00000000563,255.925518,186.646995,180.270018,141.606621
ENSMUSG00000000567,2.90361,2.836608,10.277418,12.17152
ENSMUSG00000000568,222.912843,149.202433,238.280524,187.177727
ENSMUSG00000000579,2.546247,1.642623,23.780138,17.840802
ENSMUSG00000000581,39.89238199999999,21.417516,52.15092299999999,46.137905
ENSMUSG00000000594,233.930105,178.94146,63.619426,59.677826
ENSMUSG00000000600,16.717546,15.036061,45.313529,51.250964
ENSMUSG00000000605,13.696519,11.906006,25.952502,25.528894000000005
ENSMUSG00000000606,0.0,0.0,0.0,0.0
ENSMUSG00000000617,0.0,0.0,0.0,0.0
ENSMUSG00000000627,0.134028,0.047345,1.4078370000000002,0.665652
ENSMUSG00000000628,29.097169,20.803793,38.19116399999999,39.368037
ENSMUSG00000000631,14.628516,9.264165,17.464596999999998,17.719463
ENSMUSG00000000632,0.0,0.0,0.089569,0.071923
ENSMUSG00000000673,3.020216,1.685828,1.345702,3.773044
ENSMUSG00000000682,968.269969,550.416245,67.493763,58.266084
ENSMUSG00000000686,3.914768,1.330147,1.39049,1.024078
ENSMUSG00000000690,0.048342,0.0,0.607767,0.249291
ENSMUSG00000000693,4.43516,4.589308,30.843718000000003,33.418289
ENSMUSG00000000701,0.0,0.0,0.0,0.0
ENSMUSG00000000706,0.16374,0.0,0.022734,0.074115
ENSMUSG00000000708,7.768298,4.958747,22.667005,24.281787
ENSMUSG00000000711,40.71572200000001,27.323295,63.417207000000005,55.630879
ENSMUSG00000000724,0.0,0.0,0.0,0.0
ENSMUSG00000000730,3.964757,0.715831,4.478731,6.384265999999999
ENSMUSG00000000731,0.0,0.0,1.3392499999999998,2.842375
ENSMUSG00000000732,13.617871,9.047649,11.237301,16.402318
ENSMUSG00000000738,24.276259000000003,16.567826,45.553415,52.559391000000005
ENSMUSG00000000739,17.214109,21.382006,56.411754,73.908593
ENSMUSG00000000740,2637.879104,2169.352614,2719.789095,2248.209193
ENSMUSG00000000743,65.852718,47.480626,84.883389,83.10031
ENSMUSG00000000751,44.741738,34.819449,60.489023,54.346653
ENSMUSG00000000753,110.86047000000002,125.548508,459.87209200000007,455.129531
ENSMUSG00000000759,13.150944,12.166437,34.487364,37.69119
ENSMUSG00000000766,0.0,0.0,0.0,0.0
ENSMUSG00000000776,14.41289,14.806358,41.274696,40.739497
ENSMUSG00000000782,9.433398,6.826769,18.110010000000003,17.643658
ENSMUSG00000000787,91.196748,62.140913,168.92128300000002,169.08071900000002
ENSMUSG00000000791,1.085177,1.004612,2.4203520000000003,1.105102
ENSMUSG00000000792,0.132212,0.16352,0.545007,0.443337
ENSMUSG00000000794,0.3203169999999999,0.113677,0.062345,0.122378
ENSMUSG00000000804,7.0509900000000005,4.826798999999999,15.095058,18.608496
ENSMUSG00000000805,1.63873,0.978747,1.623573,2.344661
ENSMUSG00000000811,4.633116,3.885428,8.961991,7.511778
ENSMUSG00000000817,0.031487,0.131284,0.17112,0.137803
ENSMUSG00000000823,9.34883,11.134801,76.482463,73.97894799999999
ENSMUSG00000000826,45.722528,23.086917,64.82968,58.061703
ENSMUSG00000000827,62.38746799999999,30.804366,101.131746,82.69348699999999
ENSMUSG00000000838,15.007825,11.019207000000002,40.444945,38.184001
ENSMUSG00000000861,0.5649649999999999,0.31665,0.334603,0.2226659999999999
ENSMUSG00000000869,1.260632,0.418689,0.425189,0.707865
ENSMUSG00000000876,15.058036,11.262963,27.969128,21.848957
ENSMUSG00000000881,4.891447,4.406053999999999,12.950507,12.022606
ENSMUSG00000000884,4.066391,2.728186,9.856653,8.814675000000001
ENSMUSG00000000889,0.0,0.0,0.0,0.0
ENSMUSG00000000901,6.308204,2.89817,29.33226,33.98238
ENSMUSG00000000902,45.94046600000001,32.452686,56.461229,49.964569
ENSMUSG00000000903,0.0,0.664179,0.0,0.0
ENSMUSG00000000915,3.126338,4.973513,13.615652,16.754139
ENSMUSG00000000916,7.329314999999999,5.364626,23.040632,22.46589400000001
ENSMUSG00000000934,8.693132,7.870447,16.477287,13.570555
ENSMUSG00000000938,0.109452,0.331414,0.375521,0.249343
ENSMUSG00000000942,0.196795,0.409731,0.212066,0.096524
ENSMUSG00000000948,0.304941,0.191228,3.921781,4.839054
ENSMUSG00000000957,160.93808400000003,207.12842,438.63147900000007,452.518402
ENSMUSG00000000958,31.598506,16.594458,10.900868,8.455826
ENSMUSG00000000959,25.174575,19.319167,34.956086000000006,32.499296
ENSMUSG00000000976,4.603111,4.752061,13.411716,15.314127
ENSMUSG00000000982,406.59635,128.141383,51.783833,55.668271
ENSMUSG00000000983,3.882838,1.19642,0.8711800000000001,0.763374
ENSMUSG00000001014,0.0,0.368441,0.0,0.255971
ENSMUSG00000001016,58.773562,45.103175,94.329309,79.72131900000001
ENSMUSG00000001017,84.606768,62.168724,128.03445299999998,110.878671
ENSMUSG00000001018,39.129729,21.165043,72.026619,60.711242
ENSMUSG00000001020,911.31721,479.084613,214.614384,243.14174
ENSMUSG00000001021,0.730932,0.316201,2.7240680000000004,3.087413
ENSMUSG00000001023,4.603166,2.392143,4.899395,5.479682
ENSMUSG00000001025,1678.510291,1417.13045,3928.109271,3666.542337
ENSMUSG00000001027,0.053813,0.0,0.5093260000000001,0.204669
ENSMUSG00000001029,8.921009,3.175162,6.620929,6.5888290000000005
ENSMUSG00000001034,16.295347000000003,11.052985,21.559511,21.833535
ENSMUSG00000001036,5.22863,6.252578,20.458399000000004,22.945158
