"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",2.26736069717157,0.00606001630581558,0.218039818179128,0.745994384549034,NA
"0610009B22Rik",378.488620431403,0.1565677789979,0.174831825272636,0.196234411185123,0.483434190325393
"0610009E02Rik",13.7727020510328,0.0668780630630579,0.230229464438924,0.101834679179772,NA
"0610009L18Rik",26.1569077401635,0.107589782958314,0.249226736043398,0.0785022388318524,0.279643359173656
"0610010F05Rik",937.394752301379,-0.528455379396139,0.15338651521468,7.15746729723212e-05,0.00119852674104627
"0610010K14Rik",402.228237739561,0.158682580064362,0.180859428090521,0.193805137760495,0.479789982126154
"0610012G03Rik",1714.81452224441,-0.043557695713659,0.0998838554378217,0.624466701093613,0.840759248527891
"0610030E20Rik",840.453980178622,-0.0102635330761785,0.12324988733488,0.914305375774226,0.96829593912696
"0610037L13Rik",700.567626336052,0.128952102073866,0.164941250904421,0.271419361378884,0.575793594147593
"0610038B21Rik",60.7164137641417,0.0966865072848224,0.226403800956296,0.260865298497176,0.562190495042657
"0610039K10Rik",2.79589706739798,-0.00200863872543594,0.217955497800662,0.894580442817748,NA
"0610040B10Rik",13.8982690078806,0.00761022502150858,0.215042018481366,0.852013319508546,NA
"0610040J01Rik",4.58178650805195,0.0272671828646014,0.219464294813248,0.321329741854469,NA
"1010001B22Rik",2.27712684140345,-0.00755445948701342,0.218455438229597,0.539462787870278,NA
"1110002J07Rik",141.547298461485,-0.173589840465784,0.25469462785201,0.133078254996989,0.385522764813549
"1110002L01Rik",130.40686126276,-0.108730973530373,0.216605396148769,0.287787627468307,0.59102938183322
"1110004F10Rik",3187.50880562917,0.0675458482558825,0.0811050705439108,0.36577268273306,0.662734604693065
"1110006O24Rik",19.1578119740625,-0.0277753950491795,0.215343839162748,0.566198291549531,0.807680890692735
"1110008L16Rik",252.011278970522,0.0928577452026599,0.177396488963005,0.411546663300844,0.699602162815177
"1110008P14Rik",1645.94811962895,0.332134350725882,0.107222768808366,0.000556712801158086,0.00671864174368573
"1110012L19Rik",278.214920199597,0.230901672673355,0.213929293688137,0.0880356717816173,0.299824211989391
"1110013H19Rik",3.83811076829267,-0.00789814886761384,0.217945391809037,0.67542590944854,NA
"1110017D15Rik",2.38943823990114,0.00786552563733547,0.218233943598556,0.621565124083545,NA
"1110019D14Rik",70.6672914740818,0.0331951703250551,0.201313229789048,0.694693509926775,0.877079046613729
"1110020A21Rik",12.1982316132172,0.0334231669390012,0.218007681294802,0.435920486314255,NA
"1110025M09Rik",20.1530978383458,-0.0591914037652012,0.223777862400571,0.251145327887179,0.551700865184807
"1110032A03Rik",162.671273468529,-0.0387345146688658,0.184504262840612,0.702153310101882,0.880089474934777
"1110035H17Rik",8.79577852756325,0.00613946972270172,0.216042808561482,0.858343409602324,NA
"1110038B12Rik",541.220110584101,-0.250402769988113,0.181711762249094,0.0551341839870375,0.223469589927945
"1110038F14Rik",466.394281268407,0.0675947161691697,0.157090655047303,0.547140010968782,0.797816999348318
"1110046J04Rik",39.6824831103879,-0.0437201944851863,0.212622066254492,0.516547886458535,0.778054407992345
"1110051M20Rik",232.508307687622,0.0308050716466134,0.170419473369857,0.778192411425295,0.912307327196242
"1110059E24Rik",485.254661318754,-0.0356483968752108,0.148399467370733,0.750664217938016,0.901707381939163
"1110059G10Rik",397.698714244469,0.0397456718015824,0.169898344332892,0.718885935176155,0.888740261738986
"1110065P20Rik",366.217464504955,0.162295753624931,0.194329570401534,0.18932870629692,0.473731541456313
"1190001M18Rik",4.68045232928502,0.0262652403961114,0.220072811636682,0.198215454910698,NA
"1190002N15Rik",840.076441711634,-0.115846075568029,0.134391728296829,0.275448532151049,0.579661831755034
"1190005I06Rik",8.32504827763694,0.0112437832648758,0.216652199799856,0.725177054987714,NA
"1190007I07Rik",141.395548761878,0.0173291306017393,0.186423732351834,0.861208663337076,0.94881792931139
"1200007C13Rik",3.34646359165386,-0.000703702562500446,0.217456952548234,0.954982159187695,NA
"1300002E11Rik",86.7170553701096,-0.038722465276158,0.212564696250977,0.546240357079878,0.797368121644749
"1300014J16Rik",2.17351146917904,0.012546766625213,0.218535951770961,0.439293012705052,NA
"1500002C15Rik",33.7488808788085,0.0125260230297838,0.209681190497779,0.840079090216432,0.940995526400908
"1500002F19Rik",3.73145720108867,-0.00757048253008849,0.217572161828993,0.739081820000163,NA
"1500004A13Rik",124.500202772123,0.488577284713072,0.470737926222319,0.0163160049212356,0.0948538128084654
"1500009L16Rik",4.77288163819448,-0.0181967601575971,0.218172498114543,0.480817453278843,NA
"1500011B03Rik",425.265665576117,0.0692798901185718,0.176640254322466,0.532611840203388,0.788559091056842
"1500011K16Rik",616.581839543597,0.137578777212315,0.167461184487218,0.245118479234329,0.544111473383979
"1500015A07Rik",341.582882591803,0.145608654150079,0.187652017278873,0.229163281952171,0.524424308103449
"1520401A03Rik",1.61577852944449,-0.00998346062480991,0.218798721153182,0.378491106766449,NA
"1600002K03Rik",194.526428335931,-0.0038527635861692,0.171293560329554,0.969223369872755,0.987787046604785
"1600010M07Rik",139.346203201503,-0.177651145250238,0.244532376660393,0.141067136185382,0.398972438537045
"1600012H06Rik",1149.53073176813,0.122350890342169,0.125678662094238,0.241844246400763,0.540416774963957
"1600014C10Rik",695.514045517477,-0.321381232833134,0.167383977384148,0.0155550578041519,0.0917556020815686
"1600020E01Rik",134.247216678701,0.0795822615358065,0.215946281239185,0.359198840483371,0.656907822812724
"1600023N17Rik",2.00527422532677,0.00937690594295395,0.2188155160902,0.235322649544647,NA
"1700001C19Rik",11.7955262412527,0.00113154341134465,0.215701633833607,0.979198987242193,NA
"1700001G11Rik",2.30929338064759,0.00238182414893679,0.217822688161628,0.95061183388241,NA
"1700001J03Rik",2.36762725588253,0.0149141431608669,0.219098342539793,0.234390867353627,NA
"1700001L05Rik",39.427476765929,-0.0630892700762026,0.218337269258997,0.365650826693557,0.662616142498783
"1700003E16Rik",7.63375758268039,-0.0126673044069784,0.217915586253231,0.569893538878755,NA
"1700003F12Rik",24.6764428463305,-0.0137859983308928,0.213681257691556,0.767846922482136,0.908954658688731
"1700003M07Rik",69.6316686951063,0.917651316501887,0.721211382119392,0.00545765498975504,0.0419571482406422
"1700006J14Rik",3.15069931843705,0.0145770186286218,0.219025947517917,0.294129562770106,NA
"1700007L15Rik",33.5607268623019,0.00676141453591001,0.207329576973742,0.921660706834372,0.970836111580704
"1700008B11Rik",5.30478872208197,0.0341583811434698,0.221764358153847,0.105441950930464,NA
"1700008H02Rik",7.09733311357253,-0.00917361889030918,0.216201653098018,0.781828791082014,NA
"1700008J07Rik",54.4722570068912,0.0539522685542268,0.212670225538741,0.471325948664894,0.748088671210776
"1700008O03Rik",3.69154897653143,-0.0216660163982075,0.219466848402979,0.25489678114707,NA
"1700010I14Rik",93.889043304374,0.0404631022278025,0.195623282620406,0.666314859098353,0.864446353301145
"1700011B04Rik",42.1588527458306,1.60003671977814,0.842336773173922,0.00154693040224988,0.0155745291554119
"1700012B09Rik",9.52808447328398,-0.0378704100375112,0.220482621333087,0.288861739164166,NA
"1700012D14Rik",43.3481859330252,0.236617600028254,0.441165716652631,0.00814583227061402,0.0571588043046705
"1700015I17Rik",5.78071385708453,-0.0139814870368352,0.217732759970975,0.576947537056763,NA
"1700016A09Rik",6.08448104776636,0.0356454485269855,0.221546338467362,0.166022662977621,NA
"1700017B05Rik",2551.95772320146,-0.116853968869881,0.091158731051611,0.156507240125008,0.425388570125513
"1700017G19Rik",2.56781437488495,0.0118792269902575,0.218590709139613,0.49194488805383,NA
"1700018L02Rik",14.2569180130174,0.00402141666427568,0.214104307232608,0.930399878324347,NA
"1700019L13Rik",2.2154680540612,-0.00956259219703051,0.218842073094133,0.234239972209347,NA
"1700020D05Rik",7.33808560813933,-0.00962294556504025,0.21741094541967,0.699726266930086,NA
"1700020I14Rik",1809.48091839268,0.039825435948027,0.119319146370259,0.691572541661839,0.876229171556807
"1700020L24Rik",21.1411440958185,-0.0211689524292,0.212921472468926,0.687464669727114,0.874192162618085
"1700021F05Rik",387.201442769731,0.0657009250801221,0.153371460814253,0.555216823035093,0.802945467109049
"1700021J08Rik",18.4072185888639,-0.00131242277014385,0.213391654142558,0.974466867891451,0.989553896893839
"1700022N22Rik",11.5849388784755,0.0115313558830289,0.214817330401141,0.787626952646941,NA
"1700025G04Rik",569.578955900922,-0.0540132407649416,0.190510093999107,0.59179598593993,0.82259783224752
"1700028E10Rik",11.1768185484904,0.0566089712943065,0.228273086450196,0.0401634953285456,NA
"1700028I16Rik",4.00681528293663,0.00720216574761436,0.217242397154045,0.786876999061034,NA
"1700028J19Rik",9.8778166807769,0.00849382085286957,0.21571090578487,0.814696045329417,NA
"1700029I15Rik",23.9346833125392,0.031217676199725,0.214695734413299,0.562289231554787,0.8060142470461
"1700029J07Rik",3.60933381578221,0.00822373767773783,0.217915145152008,0.68283130308835,NA
"1700030C10Rik",6.50690948754152,-0.0211535790742337,0.219109737427149,0.327548577544533,NA
"1700030J22Rik",22.0136649037054,-0.0272611535057307,0.213478083511819,0.616787069911758,0.836478894076219
"1700030K09Rik",200.363009141781,0.0579345945923083,0.176023735307587,0.596325342613115,0.825358718675635
"1700030N03Rik",3.07780700836685,-0.0138365173314502,0.218728130704516,0.378068153480998,NA
"1700034H15Rik",7.7761572345575,0.0187337336115313,0.218885439522664,0.373229153205475,NA
"1700034P13Rik",33.9650744013647,-0.118841487157366,0.266505345139352,0.00576248276217492,0.0436748031362722
"1700037C18Rik",68.9702861135977,0.0146568717538697,0.207982897966673,0.826453080171177,0.935334532726687
"1700037H04Rik",1376.27519759434,-0.203263442857742,0.113669185197663,0.0382127396671772,0.174356095583992
"1700041G16Rik",3.62158432854265,-0.0186721619714228,0.218526776483633,0.426146931440287,NA
"1700047M11Rik",43.9551348076042,-0.00546293853449715,0.211977843969154,0.910507016968479,0.966339640443675
"1700048O20Rik",5.71609915374191,-0.0118682296095077,0.217824683105174,0.608423170749018,NA
"1700052K11Rik",125.422780509534,0.120802058470813,0.228373597326852,0.230442819756462,0.525857201843694
"1700055D18Rik",17.0186461439117,-0.0270943764118759,0.217725923943428,0.469164884965565,0.746317013428237
"1700056E22Rik",4.01705407072325,-0.0254908590133281,0.22052680847433,0.0691991715936158,NA
"1700056N10Rik",5.65052574492104,-0.0169330087498815,0.218480073573512,0.443202830394979,NA
"1700058P15Rik",13.1277954391748,-0.0057822226453911,0.21566064945353,0.865600172350784,NA
"1700060J05Rik",3.52607908292404,-0.0119629688966472,0.21877928356749,0.335659018740334,NA
"1700061G19Rik",6.64789945561215,0.0366268764652833,0.22121778206327,0.217996231931953,NA
"1700063D05Rik",9.35453416824539,0.0131195836450645,0.217287890944397,0.645405835557165,NA
"1700066B19Rik",4.62778897308468,0.0072686534855913,0.216981820617858,0.798827030578799,NA
"1700066M21Rik",266.757861636187,0.0517991205705862,0.191044511307377,0.60805875858706,0.832267499396851
"1700067K01Rik",16.3963238765324,0.0106193131200747,0.21296891107283,0.83425430985315,0.938390351850018
"1700069B07Rik",9.66138383380199,0.00962604327853438,0.215973086086988,0.786830264822979,NA
"1700071M16Rik",152.412172549314,-0.103278396892281,0.209510800771996,0.321628485575838,0.62326711945223
"1700082M22Rik",2.77534391453197,0.00490325932086252,0.217870241999404,0.785465779941363,NA
"1700084E18Rik",9.04958819038579,-0.00417347178771383,0.215426713524978,0.904827929003265,NA
"1700086O06Rik",35.8970584281519,0.00657527775972454,0.209139651941112,0.918743173888055,0.969962347676965
"1700086P04Rik",2.6183615518256,0.000427038307762088,0.217915131870245,0.984941045877666,NA
"1700088E04Rik",15.3499049539064,-0.0427083970653803,0.220198902693866,0.324760221798663,0.625757500538887
"1700093K21Rik",2.06790770852209,-0.00773255010912362,0.21847935523628,0.520707168716413,NA
"1700096K18Rik",28.174030522719,0.0693107901476193,0.225333220321813,0.25189223360996,0.552315893310148
"1700101I11Rik",2.35788861848114,0.00454384701536836,0.217828341842613,0.83126580400823,NA
"1700102P08Rik",2.74460960636118,-0.0101001892633847,0.218332742641703,0.53919738777414,NA
"1700105P06Rik",12.8759493807079,0.0156239732199573,0.216100316360624,0.67982358091949,NA
"1700109G14Rik",2.27870336880205,0.000605257561302698,0.217776812140814,0.977519074954181,NA
"1700109H08Rik",30.9809735559528,-0.222033326547201,0.422105972313283,0.00345561035133447,0.029313500984278
"1700113A16Rik",20.4633850757331,0.108745728338581,0.255319547259942,0.0259538431337615,0.131993537927901
"1700120C14Rik",14.5521481899874,-0.0170327309302823,0.217180574922698,0.59082341409766,0.822134547583269
"1700123M08Rik",11.9030828492809,-0.0162815907770382,0.215123266363169,0.698345948320761,NA
"1700123O20Rik",995.288406416339,0.181625662146308,0.139664045259858,0.104130728306143,0.331411613543799
"1700128F08Rik",3.49801446136265,0.012991992402502,0.217776050470398,0.600931698065999,NA
"1810006J02Rik",6.08963850604644,-0.0176558068329119,0.218839665463696,0.366657075259235,NA
"1810009A15Rik",741.138918650521,-0.0477561761512061,0.14409558096459,0.66009846552426,0.860727908661954
"1810010H24Rik",5.37103137894775,-0.00512565079072482,0.217321857896969,0.824324566840771,NA
