"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Twistnb",1016.89486797676,0.0191504502487061,0.19199777560708,0.889272434743772,0.957025468926507
"Twnk",1544.56302750135,-0.0140169203133994,0.197378098244283,0.910416608333239,0.965846047351866
"Twsg1",1611.00758149462,-0.205670020123585,0.184195353168691,0.139099743061817,0.439272593779822
"Txk",9.04030610291688,0.10709613143309,0.287444341336948,0.0552842391603069,0.304584093544186
"Txlna",4070.40801361082,0.0763072848233648,0.137653224181697,0.514841499575311,0.761367299877437
"Txlnb",95.6049103987365,-0.322817203179416,0.404377215095483,0.0530867116937995,0.300239099130627
"Txlng",592.381871494858,0.134899911876964,0.201595615653472,0.330063060234388,0.632859882818279
"Txn1",9287.94017744642,0.285241719885998,0.408779425765799,0.0555919532182734,0.305401879217255
"Txn2",2989.53643696846,0.115555351614277,0.226297114399849,0.386972345899924,0.676196768107174
"Txndc11",860.810012748075,0.00690483100669089,0.165300912157299,0.958723353032987,0.985089814673634
"Txndc12",1140.74365978253,0.275890092196189,0.266420431224281,0.0876041004458536,0.366134231911835
"Txndc15",888.247292385661,0.0531312656984957,0.209197733977968,0.678898919876487,0.858107503110185
"Txndc16",831.94008541881,-0.147335392266077,0.208709919817631,0.290948804168612,0.600111061733002
"Txndc17",1273.83136064894,0.125210409929291,0.247873013822511,0.32328182572861,0.626140888005111
"Txndc5",4236.22353054943,-0.0198736015526702,0.186992516771768,0.875017689411438,0.950949509083869
"Txndc9",1602.17625914758,0.111154904827521,0.238339500922066,0.37757328401488,0.66915050612703
"Txnip",6497.34673006572,1.16571292103413,0.522222979098036,0.00109031914937325,0.0380566265481044
"Txnl1",3075.33539918212,0.0104336409536924,0.163037304364329,0.936199002415312,0.975711325968524
"Txnl4a",2326.42910540213,0.298928134834597,0.422751749625517,0.0514766149133772,0.295967332817411
"Txnl4b",273.412000992002,0.2482753329825,0.325032325524542,0.0987643928320116,0.385607822816863
"Txnrd1",5268.93535168497,-0.659490139958397,0.302053913894955,0.00259428669124698,0.064154702833258
"Txnrd2",528.56951930875,0.175873931078703,0.273034061328508,0.192671845312708,0.506245473700733
"Txnrd3",548.679598270144,0.10278310394092,0.213427392576637,0.442630578859892,0.713603626765161
"Tyk2",480.208795399597,-0.103366040507503,0.212547828903412,0.438486121118839,0.710218979145816
"Tymp",50.9147211910925,0.0532431729285456,0.227990568149156,0.650090211543803,0.84050736030546
"Tyms",1433.68240172718,-0.0807112198944935,0.199316390251367,0.540501019120614,0.778104889452959
"Tyr",37.123258040235,0.125039612313701,0.271924423904341,0.243238598404613,0.558822167162147
"Tyro3",973.689960930045,-0.0388963730968736,0.157876377148518,0.755466463356229,0.895609352312665
"Tyrobp",298.521096532862,0.11323172775833,0.266427236854426,0.278101220151914,0.589591347463911
"Tysnd1",627.649326258218,0.0386752151279089,0.200200630882914,0.766299529258642,0.900855928645123
"Tyw1",843.496391373999,0.102530117153316,0.165581422564436,0.428672281241882,0.703423542781265
"Tyw3",305.484151640974,-0.0734228672667989,0.244148984539095,0.488701309114627,0.743612751625863
"Tyw5",362.724966083407,0.168570520931437,0.242232826440194,0.2340441222884,0.550911713462439
"U2af1",3544.29822805019,0.147854043083766,0.268121561299754,0.235490833910504,0.551833733930112
"U2af1l4",343.690004301017,0.117556960463266,0.224543114034283,0.379890474865612,0.67054806080942
"U2af2",6299.89378392118,0.0168672589823726,0.139971314007031,0.890720938307027,0.957629032458274
"U2surp",3189.83353524334,-0.0977088869904814,0.157969364829346,0.43634368392271,0.709569577838513
"Uaca",1735.75650662363,0.265422008542556,0.214658194073294,0.0813487139776715,0.354398155012906
"Uap1",791.906976731945,-0.0929455619918797,0.184980272466109,0.483018491042387,0.740354628155544
"Uap1l1",1556.11002430333,0.19226101176731,0.317978719563856,0.133111605285484,0.432104328998709
"Uba1",7235.16488549815,-0.455528763503894,0.274710757627499,0.0146048760613235,0.171423469624621
"Uba2",3387.27121472808,-0.139540467183188,0.162404063741759,0.25562290945043,0.569661537052223
"Uba3",1208.89447583092,-0.12984132853621,0.14265155999545,0.277770413860187,0.589233761047154
"Uba5",821.301622177186,0.174219396002609,0.206046256753642,0.222005754524384,0.536700466224846
"Uba52",9667.68787027376,0.277624605307886,0.406004196312803,0.0557633519644662,0.30568249655389
"Uba52-ps",1.43137761656262,-0.027076337311254,0.261222080388983,0.223889333579803,NA
"Uba6",562.536220796591,-0.144376988973157,0.235144924471225,0.291309502258458,0.600178242836387
"Uba7",140.502626578281,0.299911244283062,0.522397442456966,0.0199582744390968,0.199710014546812
"Ubac1",2298.34252459845,0.156935666332054,0.276846592182281,0.206969058861415,0.521797119838161
"Ubac2",820.245863271524,0.137113679533366,0.154250692371605,0.274102400318588,0.585962814850577
"Ubald1",799.158497638791,0.325491060090141,0.216629266625729,0.0387931469053507,0.265261973388105
"Ubald2",2212.13516108288,0.14561977963385,0.254039858244649,0.259567341815062,0.573380072570998
"Ubap1",1149.55176218541,-0.0408978124056092,0.169339633078962,0.749099485019204,0.892230624545714
"Ubap1l",3.33701381746745,-0.0127651861240315,0.256798756500239,0.758223652992858,NA
"Ubap2",4376.08483022617,-0.0860605860526932,0.226660700081854,0.48917213199001,0.743929530421107
"Ubap2l",5799.10710191409,-0.175313228867458,0.258146171376265,0.211566572140851,0.52524344330183
"Ubash3a",8.1098305310191,0.0268211265555301,0.257682584323238,0.566191886805365,0.794803185560973
"Ubash3b",96.5964938392744,0.210082510267178,0.380089913696656,0.0237500419015343,0.214380870630801
"Ubb",30342.2786120842,0.158063492508031,0.222802635810609,0.265222662047164,0.578844217552309
"Ubc",15405.0885570631,0.163838718368336,0.176709569283827,0.213190150479933,0.526926262807448
"Ube2a",500.800922169474,0.193588765297995,0.226916485535189,0.187380648873362,0.499055297053401
"Ube2b",1633.69002163972,-0.1127399386769,0.140742788897743,0.341077345841137,0.642441735766463
"Ube2c",3875.07546494756,0.119106994509405,0.244373675679596,0.352080213286436,0.650669867402266
"Ube2cbp",89.5050318125997,1.16938894296173,0.570949811530767,0.00157555776428268,0.047461959108697
"Ube2d-ps",299.530174304559,0.249154200341853,0.342623410001766,0.0887842787633464,0.36733112074164
"Ube2d1",561.354878263799,-0.0415690287755959,0.172011207558107,0.7461606703512,0.890389169093126
