gene,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
ENSMUSG00000000416,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000420,2770,2504,2617,2578,2586,2750,2794,1991,2663,2396,3228,2716
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,903,651,663,847,966,866,918,620,728,900,1411,897
ENSMUSG00000000440,364,36,70,23,376,86,58,51,58,150,121,35
ENSMUSG00000000441,2825,3480,3780,3795,2733,3864,3673,2889,3187,4799,4867,3973
ENSMUSG00000000486,12,21,15,29,2,19,18,8,18,38,1,10
ENSMUSG00000000489,2359,336,383,448,2103,831,671,662,769,937,1159,291
ENSMUSG00000000530,927,1333,1484,1587,773,1554,1684,1368,1723,803,1136,1483
ENSMUSG00000000531,26,9,21,17,25,2,22,11,11,6,8,11
ENSMUSG00000000532,1456,2263,2521,2494,1436,2430,2693,2189,2622,1824,1959,2249
ENSMUSG00000000538,638,708,468,470,699,654,729,548,544,651,797,568
ENSMUSG00000000544,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000552,1353,1222,1296,1351,1401,963,1173,853,1093,2212,2163,1283
ENSMUSG00000000555,7540,6302,7342,7262,7484,8906,8695,7232,8151,5307,5264,6810
ENSMUSG00000000560,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,1101,1215,993,1022,1140,1702,1402,1073,1145,950,1161,948
ENSMUSG00000000562,36,63,64,75,57,130,105,103,125,56,34,139
ENSMUSG00000000563,6384,6043,5884,6363,6699,6212,7015,5178,5847,5524,7616,6563
ENSMUSG00000000567,0,9,5,4,1,12,8,1,0,0,0,26
ENSMUSG00000000568,5667,3584,4175,4567,5815,5258,5740,4071,4628,4747,5634,4508
ENSMUSG00000000579,244,227,323,474,357,388,333,216,212,540,583,281
ENSMUSG00000000581,1308,1121,1222,1279,1480,1174,1332,982,879,1615,1866,1063
ENSMUSG00000000594,5836,4389,4960,5182,5557,4016,4269,3391,3747,6305,6156,5153
ENSMUSG00000000600,1753,978,1095,1190,1825,1421,1555,1195,1287,1581,2075,1179
ENSMUSG00000000605,1686,1750,1653,1693,1695,2164,2014,1332,1483,2229,2648,1796
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,6,0
ENSMUSG00000000617,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000627,0,0,1,0,0,0,2,1,2,0,0,0
ENSMUSG00000000628,1548,2738,3543,3959,1367,3167,3651,2650,3292,1769,2711,3101
ENSMUSG00000000631,1868,1529,1480,2020,2121,2012,2106,1544,1947,2070,2301,1635
ENSMUSG00000000632,0,0,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000000673,125,25,6,45,114,23,21,1,18,124,218,17
ENSMUSG00000000682,7115,12744,10839,11671,7846,12049,13414,8920,10202,5697,3820,14233
ENSMUSG00000000686,220,188,136,161,184,173,167,67,129,376,543,245
ENSMUSG00000000690,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000000693,363,259,422,473,368,293,385,322,306,352,500,271
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000708,1425,1404,1100,916,1239,1452,1251,990,1152,1385,1723,1108
ENSMUSG00000000711,3428,3376,3364,3427,3210,3205,3322,2526,2801,4340,4751,3682
ENSMUSG00000000724,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,119,437,727,653,206,468,464,478,626,131,136,597
