symbol,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
Adhfe1,18,279,271,272,24,160,169,253,182,42,45,199
2610203C22Rik,95,47,43,57,68,95,57,33,72,51,78,65
Gm6161,0,1,16,0,0,0,0,0,0,0,7,2
Vxn,0,0,0,0,0,0,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0,0,0,0,0,0,0
Mybl1,227,39,30,37,116,65,50,31,42,96,262,34
Vcpip1,2267,1721,1386,1691,2133,1913,1798,1430,1628,2117,2630,1694
1700034P13Rik,13,18,20,40,8,31,138,4,11,17,0,3
Sgk3,2298,1122,1348,1388,2314,1392,1346,1092,1361,2309,3178,1227
Gm6195,0,0,0,0,0,0,0,0,0,0,0,0
Gm22607,0,0,0,0,0,0,0,0,0,0,0,0
Mcmdc2,5,0,19,5,8,7,19,2,6,13,13,4
Snhg6,295,365,464,552,472,474,641,424,534,342,215,461
Snord87,0,0,0,0,0,0,0,0,0,0,0,0
Tcf24,0,1,0,3,2,4,9,2,4,1,8,1
E330040D14Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r42,0,0,0,0,0,0,0,2,0,0,0,0
Gm15818,0,0,1,0,0,0,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,2133,2020,2253,2164,2285,2270,2184,2062,2343,1950,2192,2050
Cspp1,347,469,295,329,382,335,396,195,189,414,979,214
1700047N06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Arfgef1,2608,3805,3304,3457,2341,3953,3477,2929,3245,2502,3465,3995
Gm26348,0,0,0,0,0,0,0,0,0,0,0,0
Gm37569,0,0,0,0,0,0,0,0,0,0,0,0
Cpa6,7,0,17,19,3,12,11,9,25,15,0,21
Gm38005,11,11,9,17,11,7,14,10,12,6,12,9
Gm15604,0,1,0,0,1,0,0,0,0,0,0,0
Gm25253,0,0,0,0,0,0,0,0,0,0,0,0
Gm15603,0,0,0,0,0,0,0,0,0,0,0,0
Gm37133,0,0,0,0,0,0,0,0,0,0,0,0
Gm5522,0,0,1,0,0,0,0,0,0,0,0,0
Gm28659,0,0,1,0,0,0,0,0,0,0,0,0
Gm22963,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,2,0,1,1,0,13,2,0,0,0,2,0
Gm24173,0,0,0,0,0,0,0,0,0,0,0,0
Gm28686,0,0,0,0,0,0,0,0,0,0,0,0
Gm37410,0,0,0,0,0,0,0,0,0,0,0,0
A830018L16Rik,0,0,2,5,0,0,0,0,6,2,0,3
Gm38178,0,0,0,0,0,0,0,0,0,0,0,0
Gm29273,0,0,0,0,0,0,0,0,0,0,0,0
Gm38069,0,0,0,0,0,0,0,0,0,0,0,0
Gm7560,0,0,1,0,0,0,0,0,0,0,0,0
Gm22633,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0
Gm2383,0,1,0,2,0,0,0,0,1,0,0,0
Gm6216,0,0,0,0,0,0,0,0,0,0,0,0
